RegionName,year,zhvi,state_name,median_household_income,median_home_value,median_gross_rent,total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,state_fips,homeownership_rate,price_to_income_ratio,MSPUS,MORTGAGE30US,HOUST,CSUSHPINSA,RHORUSQ156N,MSACSR
Minnesota,2012,155426.98415238675,Minnesota,59126,194300,802,2101875,1534719,567156,5313081,27,73.0,3.286202347529006,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Minnesota,2014,183332.73197991436,Minnesota,60828,185200,835,2115337,1525201,590136,5383661,27,72.1,3.0446504899059645,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Minnesota,2016,204951.6550728311,Minnesota,63217,191500,873,2135310,1525611,609699,5450868,27,71.4,3.0292484616479745,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Minnesota,2018,234078.67274298894,Minnesota,68411,211800,944,2167801,1551290,616511,5527358,27,71.6,3.0959933344052857,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Minnesota,2020,260304.70194321402,Minnesota,73382,235700,1010,2207988,1588611,619377,5600166,27,71.9,3.211959336076967,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Minnesota,2022,317913.89098195353,Minnesota,84313,286800,1178,2256126,1631701,624425,5695292,27,72.3,3.4016106650220013,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Minnesota,2023,320303.46087406843,Minnesota,87556,305500,1235,2282967,1652534,630433,5713716,27,72.4,3.4891954863173282,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Mississippi,2010,116812.16546068259,Mississippi,37881,96500,648,1081052,765685,315367,2941991,28,70.8,2.547451228848235,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Mississippi,2012,113743.74504174921,Mississippi,38882,100200,688,1087791,760513,327278,2967620,28,69.9,2.577027930662003,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Mississippi,2014,117718.12588185676,Mississippi,39464,100800,714,1092627,752825,339802,2984345,28,68.9,2.5542266369349282,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
